"","mean_reaction_time","mouse_type","gamer","minutes_awake","body_temp"
"1",236,"trackpad","no",40,98.1
"2",261,"mouse","no",335,97.1
"3",346,"trackpad","yes",60,97.9
"4",305,"trackpad","no",30,NA
"5",285,"trackpad","yes",180,98.2
"6",222,"mouse","yes",150,97.3
"7",266,"trackpad","no",70,98.3
"8",347,"trackpad","no",165,98.5
"9",331,"trackpad","no",167,97.5
"10",289,"trackpad","no",162,98.1
"11",351,"trackpad","no",284,96
"12",348,"trackpad","yes",225,98.6
"13",209,"mouse","no",220,97.5
"14",331,"trackpad","no",125,98.9
"15",265,"trackpad","no",165,98.7
"16",258,"trackpad","yes",65,NA
"17",384,"trackpad","yes",120,97.9
"18",239,"mouse","no",75,98.1
"19",272,"trackpad","no",110,96.8
"20",241,"mouse","no",886,97.9
"21",262,"trackpad","no",165,98
"22",260,"trackpad","no",204,98.4
"23",562,"trackpad","no",240,98.6
"24",NA,"trackpad","no",NA,NA
"25",258,"trackpad","yes",132,97.7
